Run,Step,borrowed_books,continued_login_confirmation,student_login_status,borrowable_books,starting,guest_user_login_status
8,7,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, false)}",{}
9,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
9,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
9,3,{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
9,4,{},"{mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
9,5,{},{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
9,6,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}",{},{}
9,7,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, false)}",{}
10,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
10,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
10,3,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
10,4,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
10,5,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},{},{}
10,6,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},"{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, false)}",{}
10,7,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},{},{}
11,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
11,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
11,3,{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
11,4,{},"{mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
11,5,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
11,6,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
11,7,"{mk_book(mk_token(""book_B""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false), mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, false)}",{}
12,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
12,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
12,3,{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true)}","{mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
12,4,"{mk_book(mk_token(""book_A""), mk_token(""suzuki""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
12,5,"{mk_book(mk_token(""book_A""), mk_token(""suzuki""))}","{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
12,6,"{mk_book(mk_token(""book_A""), mk_token(""suzuki""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false), mk_student(1, true, mk_token(""sato""), {}, false)}",{}
